,price,beds,livings,wc,area,street_width,age,ketchen,ac,furnished,district,advertiser_type,review,onMarket,IsRent
223,25000,1,1,1,150.0,33.0,0.0,True,True,False,حي المونسية,owner,4.49,61,False
224,23000,1,0,1,50.0,19.0,1.0,True,True,False,حي العارض,owner,4.37,78,False
225,28000,3,1,2,150.0,15.0,4.0,True,True,False,حي المونسية,exclusive_marketer,4.38,9,True
228,75000,3,1,3,130.0,30.0,3.0,True,True,False,حي الياسمين,exclusive_marketer,4.48,22,True
229,30000,2,1,1,80.0,11.0,4.0,True,True,False,حي اليرموك,exclusive_marketer,4.67,116,False
233,47000,2,1,2,150.0,18.0,7.0,True,True,False,حي النرجس,normal_marketer,4.17,20,True
237,44000,3,1,3,140.0,20.0,1.0,True,True,False,حي العارض,exclusive_marketer,4.22,10,True
241,30000,3,1,2,150.0,23.0,0.0,True,True,False,حي المونسية,owner,4.29,11,True
245,70000,4,1,3,175.0,37.0,0.0,True,True,False,حي النرجس,normal_marketer,4.79,25,True
247,65000,5,1,3,177.0,35.0,4.0,True,True,False,حي الياسمين,normal_marketer,4.07,32,False
250,38000,3,1,2,150.0,27.0,2.0,True,False,False,حي الياسمين,normal_marketer,4.75,27,True
254,60000,3,1,2,120.0,16.0,0.0,True,True,False,حي النرجس,normal_marketer,5.0,23,False
255,83000,4,1,3,195.0,36.0,0.0,True,True,False,حي النرجس,normal_marketer,3.97,53,True
257,28000,3,1,2,100.0,36.0,11.0,True,False,False,حي قرطبة,exclusive_marketer,4.41,24,True
259,45000,2,1,2,130.0,36.0,5.0,True,True,False,حي النرجس,owner,4.28,27,True
267,25000,1,1,1,80.0,31.0,2.0,True,True,False,حي المونسية,owner,4.15,179,False
269,70000,3,2,3,166.0,25.0,0.0,True,True,False,حي الياسمين,exclusive_marketer,4.54,65,False
275,95000,3,2,3,95.0,30.0,0.0,True,True,True,حي النرجس,owner,0.0,23,False
281,21000,1,1,1,50.0,26.0,4.0,True,True,False,حي اليرموك,owner,4.52,53,False
286,28000,1,1,1,170.0,15.0,4.0,True,True,False,حي الياسمين,owner,4.17,156,False
287,21000,1,1,1,70.0,24.0,4.0,True,True,False,حي اليرموك,owner,4.43,20,False
288,80000,4,1,3,219.0,30.0,0.0,True,True,False,حي العارض,owner,4.1,20,False
289,42000,2,1,1,140.0,20.0,0.0,True,False,False,حي النرجس,exclusive_marketer,0.0,18,False
293,21000,1,0,1,300.0,21.0,0.0,True,True,False,حي العارض,exclusive_marketer,4.28,39,False
294,45000,4,1,2,260.0,25.0,2.0,True,True,False,حي النرجس,normal_marketer,3.74,22,False
295,40000,3,1,2,150.0,20.0,2.0,True,True,False,حي العارض,normal_marketer,4.36,9,True
299,28000,2,1,2,180.0,20.0,0.0,False,False,False,حي العارض,normal_marketer,4.22,15,True
307,35000,3,1,3,250.0,20.0,3.0,True,True,False,حي الياسمين,exclusive_marketer,3.93,7,True
309,95000,4,1,3,250.0,30.0,0.0,True,True,False,حي العارض,owner,4.2,85,False
310,100000,3,1,4,149.0,30.0,2.0,True,True,True,حي النرجس,exclusive_marketer,4.28,17,True
315,35000,3,1,2,100.0,15.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.48,14,True
321,36000,4,1,2,150.0,20.0,5.0,True,True,False,حي غرناطة,agent,4.3,53,False
324,35000,2,1,2,120.0,20.0,0.0,True,False,False,حي العارض,owner,4.0,38,True
326,120000,3,2,3,150.0,37.0,3.0,True,True,True,حي النرجس,exclusive_marketer,4.54,38,False
328,65000,4,1,4,200.0,20.0,0.0,True,True,False,حي النرجس,normal_marketer,4.2,29,True
330,90000,4,1,4,186.0,22.0,0.0,True,True,False,حي العارض,exclusive_marketer,4.74,58,False
332,50000,3,1,2,130.0,25.0,0.0,True,True,False,حي قرطبة,normal_marketer,5.0,45,True
337,40000,3,1,3,150.0,15.0,5.0,True,False,False,حي الياسمين,normal_marketer,4.36,48,False
341,60000,3,1,2,150.0,36.0,1.0,False,True,False,حي الياسمين,normal_marketer,3.86,29,False
344,20000,1,0,1,100.0,35.0,5.0,True,True,False,حي غرناطة,exclusive_marketer,1.0,26,False
347,36000,3,1,2,250.0,23.0,2.0,True,True,False,حي النرجس,owner,3.97,17,False
349,63000,3,2,3,192.0,30.0,2.0,True,True,False,حي العارض,agent,4.39,58,True
350,36000,2,1,2,130.0,34.0,6.0,True,True,False,حي العارض,exclusive_marketer,4.5,81,False
351,75000,3,1,2,150.0,31.0,0.0,True,True,False,حي الياسمين,owner,4.29,4,True
352,30000,3,1,2,190.0,15.0,0.0,False,False,False,حي العارض,owner,5.0,10,True
353,65000,4,1,3,155.0,36.0,3.0,True,True,False,حي الياسمين,exclusive_marketer,5.0,20,False
359,74000,4,1,3,171.0,36.0,0.0,True,True,False,حي النرجس,normal_marketer,4.85,54,True
361,36000,3,1,2,200.0,20.0,0.0,True,True,False,حي النرجس,normal_marketer,4.22,17,False
363,50000,3,1,3,150.0,21.0,2.0,True,True,False,حي قرطبة,normal_marketer,4.29,33,False
366,37500,3,1,2,150.0,15.0,3.0,True,False,False,حي النرجس,normal_marketer,3.75,4,True
370,50000,3,1,2,200.0,25.0,0.0,True,True,False,حي اليرموك,exclusive_marketer,4.6,27,False
371,75000,3,2,4,155.0,32.0,0.0,True,True,False,حي قرطبة,normal_marketer,4.34,58,False
373,24000,3,1,2,250.0,20.0,4.0,True,False,False,حي اليرموك,exclusive_marketer,4.34,74,False
375,78000,3,1,3,195.0,36.0,0.0,True,False,False,حي النرجس,normal_marketer,4.29,21,False
379,23000,3,1,2,170.0,16.0,0.0,True,False,False,حي الرمال,exclusive_marketer,4.96,9,True
384,32000,3,1,2,250.0,19.0,0.0,True,True,False,حي العارض,owner,3.97,20,False
385,27000,3,1,2,300.0,25.0,2.0,True,True,False,حي المونسية,normal_marketer,3.99,4,True
393,40000,3,1,2,120.0,20.0,3.0,True,True,False,حي الياسمين,exclusive_marketer,4.08,23,True
401,40000,3,1,2,150.0,16.0,0.0,True,False,False,حي العارض,normal_marketer,3.74,16,True
404,60000,3,1,2,160.0,17.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.26,23,False
412,45000,4,1,2,150.0,15.0,2.0,True,True,False,حي النرجس,normal_marketer,4.28,47,False
419,41000,3,0,2,130.0,30.0,0.0,True,True,False,حي العارض,normal_marketer,5.0,54,True
420,20000,1,1,1,50.0,30.0,5.0,True,True,False,حي اليرموك,exclusive_marketer,4.33,38,False
423,40000,3,1,4,262.0,15.0,1.0,True,True,False,حي النرجس,owner,4.42,29,False
425,75000,5,1,4,180.0,20.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.0,25,False
428,50000,4,1,3,170.0,15.0,0.0,True,True,False,حي العارض,normal_marketer,4.31,6,True
429,25000,1,1,1,100.0,30.0,0.0,True,True,False,حي المونسية,exclusive_marketer,5.0,60,False
433,30000,1,1,1,120.0,24.0,3.0,True,True,False,حي الياسمين,owner,4.07,93,False
434,27000,1,1,1,60.0,29.0,5.0,True,True,False,حي النرجس,owner,4.52,74,False
436,45000,4,1,3,120.0,18.0,0.0,True,False,False,حي النرجس,exclusive_marketer,4.48,16,True
440,42000,3,1,2,150.0,10.0,4.0,True,True,False,حي النرجس,owner,4.71,9,True
442,35000,2,1,2,100.0,20.0,4.0,True,True,False,حي النرجس,owner,4.29,10,True
444,27000,4,1,2,110.0,20.0,7.0,False,False,False,حي اليرموك,exclusive_marketer,4.72,77,False
448,30000,3,1,2,130.0,18.0,0.0,False,False,False,حي اليرموك,agent,4.18,15,True
450,27000,3,1,2,140.0,30.0,7.0,False,False,False,حي اليرموك,exclusive_marketer,4.09,58,True
452,25000,2,1,2,150.0,17.0,0.0,True,False,False,حي الرمال,normal_marketer,4.31,47,True
453,75000,2,1,3,120.0,35.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.33,22,False
460,70000,3,2,4,300.0,20.0,0.0,True,True,False,حي النرجس,normal_marketer,4.39,23,False
462,68000,4,1,4,130.0,21.0,0.0,True,True,False,حي النرجس,undefined,4.38,95,True
465,50000,3,1,3,150.0,20.0,0.0,True,True,False,حي النرجس,owner,4.0,36,False
466,40000,3,1,2,250.0,29.0,0.0,True,False,False,حي العارض,owner,3.97,17,False
467,42000,3,1,3,150.0,20.0,0.0,False,True,False,حي المونسية,owner,0.0,17,True
469,75,3,1,4,155.0,30.0,0.0,True,True,False,حي قرطبة,owner,0.0,4,True
470,38000,4,0,3,150.0,15.0,2.0,True,False,False,حي العارض,exclusive_marketer,4.55,27,False
472,120000,3,1,2,100.0,39.0,0.0,True,True,False,حي النرجس,normal_marketer,4.0,42,False
473,75000,3,1,3,160.0,20.0,0.0,True,True,False,حي النرجس,exclusive_marketer,3.95,39,False
476,30000,3,1,1,120.0,20.0,4.0,False,True,False,حي العارض,exclusive_marketer,3.94,24,False
479,37000,2,2,2,150.0,15.0,4.0,True,False,False,حي النرجس,exclusive_marketer,4.69,32,True
480,55000,3,1,3,200.0,35.0,0.0,True,True,False,حي النرجس,normal_marketer,4.19,18,False
482,40000,3,1,2,150.0,20.0,0.0,False,False,False,حي النرجس,owner,0.0,28,False
485,60000,2,2,2,120.0,15.0,3.0,True,True,False,حي النرجس,owner,1.0,66,False
490,70000,3,1,3,180.0,40.0,0.0,True,True,False,حي العارض,exclusive_marketer,4.58,72,False
492,130000,3,2,4,260.0,20.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.0,32,False
493,85000,4,1,4,144.0,26.0,0.0,True,True,False,حي غرناطة,normal_marketer,4.34,69,False
494,80000,3,2,2,175.0,30.0,1.0,True,True,False,حي الياسمين,exclusive_marketer,3.97,71,False
499,30000,3,1,2,140.0,20.0,3.0,False,False,False,حي اليرموك,agent,4.29,26,False
501,80000,4,1,3,170.0,30.0,0.0,True,True,False,حي الياسمين,exclusive_marketer,4.31,20,False
504,65000,4,1,3,180.0,36.0,0.0,True,False,False,حي قرطبة,agent,4.5,75,True
505,45000,3,1,2,120.0,36.0,4.0,True,True,False,حي الياسمين,exclusive_marketer,4.48,96,True
511,22000,1,1,1,80.0,30.0,3.0,True,True,False,حي اليرموك,owner,4.37,28,True
521,35000,5,1,3,160.0,36.0,10.0,True,True,False,حي الياسمين,exclusive_marketer,4.38,19,False
528,45000,3,1,5,325.0,15.0,2.0,True,True,False,حي النرجس,agent,4.54,71,True
530,78000,3,1,3,168.0,34.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.26,29,False
536,78000,4,1,3,200.0,38.0,0.0,True,True,False,حي النرجس,exclusive_marketer,3.95,40,True
542,24000,1,1,1,40.0,30.0,2.0,True,True,False,حي العارض,owner,4.91,10,True
551,80000,5,0,3,196.0,30.0,0.0,False,False,False,حي قرطبة,normal_marketer,4.34,60,False
552,50000,3,1,3,130.0,20.0,0.0,False,False,False,حي النرجس,exclusive_marketer,4.35,76,False
553,28000,2,1,2,200.0,24.0,0.0,True,False,False,حي العارض,owner,3.97,17,False
565,45000,3,1,3,130.0,20.0,0.0,True,True,False,حي النرجس,exclusive_marketer,4.74,61,False
567,22000,1,1,1,80.0,30.0,2.0,True,True,False,حي اليرموك,exclusive_marketer,4.43,13,True
568,30000,1,1,1,75.0,12.0,5.0,True,True,False,حي الياسمين,owner,4.07,119,False
569,33000,3,1,2,160.0,20.0,6.0,True,False,False,حي قرطبة,normal_marketer,4.56,32,True
575,17000,1,0,1,50.0,31.0,0.0,True,True,False,حي غرناطة,owner,3.82,163,False
577,22000,1,1,1,80.0,35.0,3.0,True,True,False,حي اليرموك,exclusive_marketer,1.0,29,False
580,133000,4,1,3,182.0,15.0,1.0,True,True,False,حي النرجس,owner,0.0,131,False
581,35000,3,1,2,250.0,28.0,1.0,True,True,False,حي العارض,owner,3.97,30,False
582,28000,3,1,2,110.0,19.0,3.0,True,False,False,حي المونسية,exclusive_marketer,4.34,16,False
597,26000,1,1,1,120.0,23.0,3.0,True,True,False,حي النرجس,owner,4.07,130,False
603,45000,4,1,2,150.0,25.0,4.0,True,True,False,حي النرجس,normal_marketer,4.52,23,True
606,83000,4,1,3,195.0,21.0,0.0,True,True,False,حي النرجس,normal_marketer,4.22,18,False
610,32000,3,1,2,150.0,15.0,3.0,False,False,False,حي العارض,normal_marketer,4.44,3,True
615,58000,4,1,3,300.0,21.0,0.0,True,True,False,حي العارض,normal_marketer,4.5,100,False
618,2500,4,1,2,150.0,20.0,7.0,True,False,False,حي اليرموك,exclusive_marketer,4.09,54,True
620,30000,2,1,1,130.0,33.0,4.0,True,True,False,حي العارض,exclusive_marketer,4.5,75,False
622,55000,5,1,3,180.0,20.0,0.0,False,True,False,حي النرجس,normal_marketer,4.47,11,True
624,34000,3,1,2,140.0,17.0,0.0,True,True,False,حي العارض,exclusive_marketer,4.26,3,True
625,47000,3,1,2,150.0,34.0,0.0,True,False,False,حي قرطبة,normal_marketer,4.23,36,True
627,50000,3,1,3,200.0,20.0,0.0,True,True,False,حي المونسية,exclusive_marketer,4.19,9,True
635,25000,1,1,1,70.0,13.0,5.0,True,True,False,حي المونسية,exclusive_marketer,4.67,112,False
645,23000,1,1,1,50.0,30.0,5.0,True,True,False,حي اليرموك,agent,4.33,20,True
649,35000,3,1,2,250.0,21.0,1.0,True,True,False,حي العارض,owner,3.97,30,False
650,50000,3,2,4,180.0,15.0,10.0,True,True,False,حي قرطبة,owner,0.0,28,True
652,50000,3,1,2,150.0,15.0,0.0,True,True,False,حي النرجس,owner,4.69,18,False
654,30000,3,1,2,250.0,17.0,0.0,True,True,False,حي العارض,owner,3.97,20,False
657,38000,3,1,2,100.0,15.0,2.0,True,False,False,حي قرطبة,exclusive_marketer,4.3,34,True
660,67000,3,1,3,170.0,35.0,2.0,True,True,False,حي الياسمين,owner,4.31,13,True
665,70000,4,1,3,170.0,40.0,0.0,True,True,False,حي غرناطة,exclusive_marketer,4.72,118,False
