,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
361, حي الملقا ,ثلاث شوارع,3,1.0,3,114,متوفر,متوفر,متوفر,ثاني,0.0,نعم,1500000
363, حي النرجس ,غير محدد,2,2.0,3,164,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1200000
364, الرياض ,غير محدد,3,1.0,3,134,غير متوفر,متوفر,متوفر,أرضي,0.0,لا,1350000
365, حي الملقا ,شرقية,4,1.0,3,135,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1148000
366, حي الملقا ,شمالية,4,1.0,4,230,متوفر,غير متوفر,غير متوفر,أرضي,8.0,نعم,1650000
367, حي الندى ,جنوبية,3,2.0,3,138,متوفر,متوفر,متوفر,علوي,0.0,لا,1089000
368, حي النرجس ,غير محدد,3,1.0,3,140,غير متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1250000
369, حي الملك فهد ,غربية,1,1.0,1,43,متوفر,غير متوفر,متوفر,علوي,1.0,نعم,1100000
370, حي النخيل ,غير محدد,3,1.0,3,130,متوفر,غير متوفر,متوفر,3,0.0,لا,850000
371, حي الملقا ,غير محدد,4,1.0,4,179,متوفر,غير متوفر,متوفر,3,0.0,لا,1300000
372, حي النرجس ,غربية,3,2.0,3,143,غير متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,917000
373, حي النفل ,غربية,3,2.0,3,132,متوفر,متوفر,متوفر,علوي,11.0,لا,1350000
374, حي العقيق ,شمالية غربية,3,1.0,3,162,متوفر,متوفر,متوفر,3,0.0,لا,700000
375, حي العارض ,جنوبية,3,1.0,3,154,متوفر,غير متوفر,غير متوفر,أرضي,1.0,لا,1200000
376, حي النرجس ,غير محدد,4,1.0,3,151,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,896000
377, حي الفلاح ,غير محدد,3,2.0,3,204,متوفر,متوفر,متوفر,غير محدد,11.0,لا,1200000
378, حي العارض ,شرقية,6,1.0,3,210,متوفر,غير متوفر,متوفر,3,0.0,نعم,1200000
379, حي الندى ,غير محدد,2,1.0,2,106,متوفر,غير متوفر,متوفر,أرضي,1.0,نعم,1150000
380, حي العارض ,غير محدد,3,2.0,3,138,متوفر,غير متوفر,متوفر,علوي,0.0,لا,895000
381, حي العارض ,غربية,3,1.0,3,160,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,950000
382, حي الملقا ,شمالية,3,1.0,3,166,غير متوفر,متوفر,متوفر,علوي,0.0,لا,1350000
383, حي النرجس ,جنوبية,4,1.0,3,138,متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,840000
384, حي الملقا ,غربية,3,2.0,3,178,متوفر,متوفر,متوفر,غير محدد,0.0,لا,1499000
385, حي النرجس ,غير محدد,3,1.0,3,151,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,846000
386, حي النرجس ,شمالية,3,2.0,2,125,متوفر,غير متوفر,متوفر,أرضي,5.0,نعم,850000
387, حي الملقا ,غير محدد,4,1.0,3,126,متوفر,متوفر,متوفر,علوي,7.0,لا,900000
388, حي المصيف ,شرقية,2,1.0,2,103,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,849000
389, الرياض ,ثلاث شوارع,2,1.0,2,151,متوفر,غير متوفر,متوفر,علوي,0.0,لا,896000
390, الرياض ,جنوبية,4,2.0,3,137,غير متوفر,متوفر,متوفر,علوي,0.0,لا,900000
391, حي الملقا ,شمالية,3,1.0,3,132,متوفر,غير متوفر,متوفر,أرضي,4.0,نعم,1200000
392, حي المرسلات ,غير محدد,3,1.0,3,128,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1400000
393, حي العارض ,غير محدد,2,1.0,3,103,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,852833
394, الرياض ,جنوبية,4,1.0,3,151,متوفر,متوفر,متوفر,3,0.0,نعم,1369000
395, حي المغرزات ,شرقية,1,2.0,2,137,متوفر,متوفر,متوفر,3,0.0,لا,1030000
396, حي العارض ,جنوبية,2,1.0,3,101,غير متوفر,متوفر,متوفر,غير محدد,0.0,لا,770000
397, حي القيروان ,غير محدد,3,1.0,3,100,متوفر,متوفر,متوفر,أرضي,0.0,لا,850000
398, حي المرسلات ,غير محدد,3,2.0,3,128,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1400000
399, حي حطين ,جنوبية شرقية,3,1.0,3,149,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1600000
400, حي المروج ,جنوبية,4,1.0,3,249,متوفر,غير متوفر,متوفر,3,0.0,لا,1434000
401, حي العارض ,شمالية,3,1.0,3,142,متوفر,متوفر,متوفر,علوي,0.0,لا,799000
402, حي النرجس ,غير محدد,3,1.0,3,137,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,995000
403, الرياض ,شمالية,4,2.0,4,190,متوفر,غير متوفر,متوفر,3,0.0,نعم,1750000
404, حي النرجس ,جنوبية,2,2.0,3,117,متوفر,غير متوفر,متوفر,3,0.0,لا,849000
