,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
0, حي المروج ,جنوبية,4,1.0,3,249,متوفر,غير متوفر,متوفر,3,0.0,لا,1434000
1, حي العارض ,شمالية غربية,3,1.0,3,199,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,980000
2, حي النرجس ,غير محدد,3,1.0,3,145,متوفر,غير متوفر,متوفر,أرضي,2.0,لا,1050000
3, حي النرجس ,شمالية,3,1.0,3,101,متوفر,غير متوفر,غير متوفر,أرضي,0.0,نعم,1200000
4, حي الياسمين ,شرقية,4,1.0,3,147,متوفر,غير متوفر,متوفر,علوي,2.0,نعم,1200000
5, حي الياسمين ,غير محدد,3,1.0,2,118,متوفر,غير متوفر,متوفر,3,0.0,لا,850000
6, حي النرجس ,شرقية,3,1.0,3,112,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,885000
7, حي النرجس ,شرقية,2,1.0,3,100,متوفر,غير متوفر,متوفر,3,0.0,لا,1200000
8, حي النرجس ,جنوبية شرقية,3,1.0,3,170,متوفر,غير متوفر,متوفر,ثالث,0.0,نعم,930000
9, حي العقيق ,غير محدد,3,1.0,3,115,غير متوفر,متوفر,متوفر,غير محدد,11.0,لا,1100000
10, حي القيروان ,شرقية,4,1.0,3,150,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1300000
11, حي النرجس ,غير محدد,2,2.0,3,157,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,950000
12, حي الملقا ,شمالية غربية,4,1.0,3,124,متوفر,غير متوفر,متوفر,علوي,0.0,لا,959000
13, حي الملقا ,غير محدد,3,1.0,3,140,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1190000
14, حي الملقا ,غير محدد,3,1.0,3,134,متوفر,غير متوفر,متوفر,غير محدد,1.0,لا,1320000
15, حي النرجس ,جنوبية,4,1.0,3,120,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,850000
17, حي الملقا ,غير محدد,3,1.0,3,116,متوفر,متوفر,متوفر,أرضي,2.0,نعم,1100000
18, حي القيروان ,غير محدد,3,1.0,3,100,متوفر,متوفر,متوفر,أرضي,0.0,لا,850000
19, حي الياسمين ,غير محدد,3,1.0,3,112,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,950000
20, الرياض ,غير محدد,2,1.0,3,135,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,1375000
21, حي الصحافة ,غير محدد,2,1.0,3,142,متوفر,متوفر,متوفر,غير محدد,7.0,لا,1980000
22, حي الياسمين ,جنوبية,4,1.0,4,201,متوفر,غير متوفر,متوفر,علوي,3.0,لا,1400000
23, حي العارض ,جنوبية شرقية,3,2.0,3,167,متوفر,متوفر,غير متوفر,غير محدد,0.0,نعم,990000
24, حي القيروان ,غير محدد,3,2.0,3,228,متوفر,متوفر,متوفر,علوي,0.0,نعم,1850000
25, حي الملقا ,غربية,3,2.0,3,178,متوفر,متوفر,متوفر,غير محدد,0.0,لا,1499000
26, حي القيروان ,شرقية,3,1.0,3,104,متوفر,متوفر,غير متوفر,أرضي,0.0,لا,1100000
27, حي النرجس ,جنوبية,3,1.0,3,185,متوفر,غير متوفر,متوفر,علوي,2.0,نعم,1000000
28, حي النرجس ,غير محدد,3,1.0,2,129,متوفر,غير متوفر,متوفر,علوي,0.0,لا,830000
29, حي النفل ,شمالية,3,1.0,4,131,غير متوفر,متوفر,متوفر,3,0.0,لا,1070000
31, حي الياسمين ,غير محدد,3,1.0,3,124,غير متوفر,متوفر,غير متوفر,أرضي,0.0,لا,990000
32, حي الملقا ,غير محدد,3,1.0,3,121,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1249000
33, الرياض ,غربية,3,1.0,4,166,متوفر,غير متوفر,متوفر,علوي,0.0,نعم,1190000
34, حي النرجس ,غير محدد,2,2.0,3,157,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,950000
35, حي النرجس ,غير محدد,4,2.0,4,155,متوفر,متوفر,متوفر,أرضي,0.0,لا,1205000
36, حي النرجس ,جنوبية,2,2.0,3,117,غير متوفر,غير متوفر,متوفر,3,0.0,لا,899000
37, حي النرجس ,جنوبية,3,1.0,3,137,متوفر,غير متوفر,غير متوفر,علوي,1.0,لا,850000
38, حي حطين ,غير محدد,3,1.0,3,174,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1350000
40, حي العقيق ,جنوبية,3,1.0,3,139,متوفر,متوفر,متوفر,3,10.0,لا,800000
41, حي الربيع ,جنوبية,2,1.0,2,123,متوفر,غير متوفر,غير متوفر,ثاني,0.0,لا,1379000
42, حي النرجس ,شمالية,3,1.0,3,145,متوفر,غير متوفر,متوفر,أرضي,2.0,لا,1050000
43, حي القيروان ,شمالية,4,1.0,2,199,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1500000
44, الرياض ,غير محدد,1,0.0,4,178,متوفر,غير متوفر,غير متوفر,أرضي,2.0,لا,1250000
45, حي العقيق ,شمالية,4,1.0,3,220,متوفر,متوفر,متوفر,3,0.0,لا,800000
46, حي الملقا ,شمالية,3,1.0,3,150,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1150000
48, حي الياسمين ,جنوبية,4,2.0,5,178,متوفر,متوفر,متوفر,علوي,0.0,لا,900000
49, حي العارض ,شمالية,3,1.0,3,142,متوفر,متوفر,متوفر,علوي,0.0,لا,799000
50, حي المروج ,غير محدد,3,1.0,3,116,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,969000
51, حي الملقا ,شمالية,2,1.0,3,222,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1199000
52, حي الملقا ,شمالية,3,1.0,3,161,غير متوفر,غير متوفر,غير متوفر,علوي,11.0,لا,850000
53, حي العارض ,جنوبية,3,1.0,3,188,متوفر,متوفر,غير متوفر,غير محدد,0.0,لا,1190000
54, حي النرجس ,شمالية,3,1.0,3,188,متوفر,غير متوفر,متوفر,3,0.0,لا,980000
55, حي النخيل ,غير محدد,5,1.0,4,216,غير متوفر,غير متوفر,غير متوفر,أرضي,3.0,لا,1100000
56, الرياض ,شرقية,3,1.0,2,104,متوفر,متوفر,متوفر,3,7.0,لا,715000
57, حي الملقا ,غير محدد,2,1.0,2,94,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1300000
58, حي العارض ,غير محدد,3,1.0,3,176,غير متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1079000
59, حي المصيف ,شرقية,2,1.0,2,103,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,849000
60, حي النرجس ,غير محدد,3,0.0,3,131,متوفر,غير متوفر,غير متوفر,أرضي,1.0,لا,890000
61, حي النرجس ,جنوبية,4,1.0,3,120,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,850000
62, حي النرجس ,ثلاث شوارع,2,1.0,2,151,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,896000
63, الرياض ,جنوبية,4,1.0,3,151,متوفر,متوفر,متوفر,3,0.0,نعم,1369000
64, حي النرجس ,غير محدد,3,2.0,4,145,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1100000
66, حي النرجس ,شمالية,3,1.0,3,240,متوفر,متوفر,غير متوفر,أرضي,0.0,لا,1350000
67, حي العارض ,شمالية,3,1.0,3,120,متوفر,متوفر,متوفر,ارضي,0.0,لا,1000000
68, حي النرجس ,غير محدد,3,1.0,3,214,غير متوفر,متوفر,متوفر,علوي,0.0,لا,959000
69, حي الفلاح ,غير محدد,3,1.0,3,132,غير متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1065000
70, حي الملقا ,شرقية,3,1.0,4,148,متوفر,غير متوفر,متوفر,علوي,0.0,نعم,1350000
71, حي العارض ,غير محدد,3,1.0,2,109,متوفر,غير متوفر,متوفر,علوي,4.0,لا,820000
72, حي الملقا ,شمالية,3,1.0,3,161,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1429000
73, حي العارض ,جنوبية,3,1.0,3,200,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1100000
74, حي الملقا ,غير محدد,3,1.0,3,114,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,850000
75, حي الملقا ,غربية,3,1.0,3,210,متوفر,غير متوفر,متوفر,غير محدد,0.0,نعم,1700000
76, حي النرجس ,شرقية,3,1.0,3,132,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,985000
77, حي حطين ,شمالية غربية,3,2.0,3,155,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1260000
78, حي النرجس ,غير محدد,2,2.0,2,129,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,830000
79, الرياض ,غير محدد,4,1.0,3,140,غير متوفر,متوفر,متوفر,علوي,0.0,لا,1250000
80, حي العارض ,جنوبية,3,2.0,3,147,متوفر,متوفر,متوفر,غير محدد,0.0,لا,959000
81, حي الملقا ,غربية,3,2.0,3,117,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1179000
82, الرياض ,شرقية,3,1.0,2,104,متوفر,متوفر,متوفر,3,7.0,لا,715000
83, حي حطين ,شرقية,3,1.0,2,104,متوفر,متوفر,متوفر,3,0.0,لا,745000
84, حي الندى ,شرقية,3,1.0,3,135,متوفر,متوفر,متوفر,أرضي,3.0,لا,1300000
85, حي الملقا ,شمالية,3,1.0,3,129,متوفر,غير متوفر,متوفر,علوي,0.0,نعم,1200000
86, حي العارض ,جنوبية غربية,4,1.0,4,188,غير متوفر,متوفر,متوفر,ثاني,0.0,لا,1200000
87, الرياض ,غير محدد,3,1.0,3,134,غير متوفر,متوفر,متوفر,أرضي,0.0,لا,1350000
89, حي الملك فهد ,غير محدد,3,1.0,3,100,متوفر,غير متوفر,متوفر,علوي,0.0,لا,980000
90, الرياض ,شمالية,3,1.0,2,104,غير متوفر,متوفر,متوفر,3,1.0,لا,715000
91, حي النرجس ,جنوبية,2,2.0,3,117,غير متوفر,غير متوفر,متوفر,3,0.0,لا,899000
92, حي العقيق ,شمالية,4,1.0,3,220,متوفر,متوفر,متوفر,3,0.0,لا,800000
93, حي الياسمين ,شمالية,4,1.0,4,204,متوفر,غير متوفر,غير متوفر,أرضي,13.0,نعم,1550000
94, حي النخيل ,غير محدد,3,2.0,3,169,متوفر,غير متوفر,غير متوفر,3,0.0,لا,1490000
96, حي الوادي ,جنوبية,3,1.0,3,126,متوفر,غير متوفر,غير متوفر,علوي,2.0,نعم,970000
97, حي العارض ,شرقية,3,1.0,3,120,متوفر,متوفر,متوفر,ارضي,0.0,لا,1100000
98, الرياض ,غير محدد,4,1.0,3,126,متوفر,غير متوفر,متوفر,علوي,7.0,نعم,1350000
99, حي الملقا ,شرقية,4,2.0,4,232,متوفر,متوفر,متوفر,3,1.0,نعم,1500000
100, حي العقيق ,شرقية,3,1.0,3,135,متوفر,غير متوفر,متوفر,علوي,11.0,نعم,850000
101, الرياض ,جنوبية,3,2.0,3,130,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,840000
102, حي المصيف ,شمالية شرقية,3,1.0,2,107,متوفر,متوفر,متوفر,أرضي,7.0,لا,750000
103, حي النفل ,شمالية,2,1.0,3,93,غير متوفر,غير متوفر,متوفر,4,0.0,لا,1070000
104, حي الملقا ,شمالية غربية,3,2.0,3,124,غير متوفر,غير متوفر,متوفر,3,0.0,لا,950000
105, حي الملقا ,غير محدد,3,1.0,3,140,متوفر,متوفر,متوفر,علوي,0.0,لا,850000
106, حي العقيق ,غير محدد,3,1.0,3,115,غير متوفر,متوفر,متوفر,غير محدد,11.0,لا,1100000
107, حي النخيل ,غير محدد,5,1.0,4,216,غير متوفر,غير متوفر,غير متوفر,أرضي,3.0,لا,1100000
110, حي العقيق ,شمالية,4,2.0,4,139,متوفر,غير متوفر,متوفر,غير محدد,8.0,نعم,800000
111, حي النفل ,شمالية,3,1.0,3,126,غير متوفر,غير متوفر,غير متوفر,غير محدد,2.0,لا,970000
112, حي النفل ,شمالية,3,1.0,3,174,متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,850000
113, حي الملقا ,جنوبية شرقية,3,1.0,3,113,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1020000
114, حي حطين ,شرقية,2,2.0,2,104,متوفر,متوفر,متوفر,4,0.0,لا,715000
115, حي العارض ,شرقية,2,1.0,3,61,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,750000
116, الرياض ,شرقية,3,1.0,3,163,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,985000
117, حي النرجس ,جنوبية,2,2.0,3,117,متوفر,غير متوفر,متوفر,3,0.0,لا,849000
118, حي الملقا ,شرقية,4,2.0,3,168,متوفر,متوفر,متوفر,علوي,0.0,لا,1200000
119, حي الملقا ,غير محدد,2,1.0,2,94,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1300000
120, حي النرجس ,ثلاث شوارع,1,0.0,3,151,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,900000
121, حي النرجس ,شمالية,3,2.0,5,226,متوفر,متوفر,غير متوفر,أرضي,8.0,لا,1650000
122, حي النرجس ,غير محدد,2,1.0,3,129,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,830000
123, حي التعاون ,شمالية,3,1.0,3,140,متوفر,غير متوفر,غير متوفر,أرضي,4.0,لا,1200000
124, حي النخيل ,جنوبية,3,2.0,5,216,متوفر,غير متوفر,متوفر,أرضي,3.0,لا,1200000
125, حي المغرزات ,شرقية,3,1.0,3,218,متوفر,متوفر,متوفر,4,0.0,لا,1379000
126, حي العارض ,جنوبية,3,1.0,3,216,متوفر,غير متوفر,متوفر,أرضي,3.0,لا,1180000
127, حي الملقا ,شرقية,1,1.0,3,86,متوفر,متوفر,متوفر,علوي,0.0,لا,900000
128, حي العارض ,جنوبية,3,2.0,2,129,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1000000
129, حي النرجس ,شرقية,2,1.0,3,100,متوفر,غير متوفر,متوفر,3,0.0,لا,1200000
130, الرياض ,غير محدد,3,2.0,2,176,متوفر,متوفر,متوفر,علوي,1.0,لا,1350000
131, حي النرجس ,جنوبية غربية,3,1.0,3,172,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1100000
132, حي الياسمين ,شمالية,3,2.0,4,212,متوفر,غير متوفر,متوفر,أرضي,10.0,لا,1000000
133, حي الملقا ,شرقية,3,1.0,3,134,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,980000
134, حي النرجس ,شمالية,3,2.0,5,226,متوفر,متوفر,غير متوفر,أرضي,8.0,لا,1650000
135, حي القيروان ,شرقية,3,1.0,3,139,متوفر,غير متوفر,غير متوفر,أرضي,1.0,لا,1600000
136, حي حطين ,شمالية غربية,3,2.0,3,155,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1260000
138, الرياض ,شرقية,4,1.0,3,134,متوفر,متوفر,متوفر,3,1.0,لا,1100000
139, حي القيروان ,شرقية,4,1.0,3,150,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1300000
140, الرياض ,غير محدد,1,0.0,3,151,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,896000
141, حي التعاون ,شرقية,4,2.0,3,126,متوفر,غير متوفر,متوفر,علوي,5.0,لا,900000
142, حي الملقا ,شرقية,3,1.0,3,135,متوفر,غير متوفر,متوفر,أرضي,0.0,نعم,1176000
143, حي النرجس ,غربية,3,1.0,3,115,متوفر,متوفر,متوفر,أرضي,0.0,لا,799000
144, حي الصحافة ,جنوبية شرقية,1,1.0,2,81,متوفر,متوفر,متوفر,غير محدد,7.0,نعم,1600000
145, حي العارض ,غير محدد,2,1.0,3,133,غير متوفر,متوفر,متوفر,أرضي,0.0,لا,790000
146, حي النرجس ,غير محدد,3,2.0,3,147,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,920000
147, حي النرجس ,شمالية,3,1.0,3,188,متوفر,غير متوفر,متوفر,3,0.0,لا,980000
148, حي العارض ,جنوبية شرقية,3,2.0,3,167,متوفر,متوفر,غير متوفر,غير محدد,0.0,نعم,990000
149, حي الياسمين ,غير محدد,4,1.0,3,112,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,955000
150, حي العارض ,جنوبية,3,1.0,3,126,غير متوفر,متوفر,غير متوفر,ارضي,0.0,لا,900000
151, الرياض ,شرقية,4,1.0,5,181,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1300000
152, حي النرجس ,ثلاث شوارع,2,1.0,3,167,متوفر,متوفر,متوفر,علوي,0.0,لا,1255600
153, حي العارض ,غير محدد,3,1.0,2,109,متوفر,غير متوفر,متوفر,علوي,4.0,لا,820000
154, حي العارض ,شمالية,3,1.0,4,203,غير متوفر,متوفر,متوفر,ثالث,0.0,لا,1150000
155, حي العقيق ,شمالية,4,2.0,4,139,متوفر,غير متوفر,متوفر,غير محدد,8.0,نعم,800000
156, حي النرجس ,شمالية,3,1.0,2,120,متوفر,متوفر,متوفر,أرضي,0.0,لا,909000
157, حي النرجس ,جنوبية,3,1.0,3,134,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,890000
158, حي النرجس ,شرقية,3,1.0,4,178,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,900000
159, حي الياسمين ,غير محدد,6,1.0,5,180,متوفر,غير متوفر,غير متوفر,أرضي,10.0,نعم,1100000
160, حي الملقا ,شمالية,4,1.0,3,179,متوفر,متوفر,متوفر,3,0.0,لا,1155000
161, حي الفلاح ,غير محدد,3,1.0,3,112,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1069000
162, حي الملقا ,غربية,3,1.0,3,190,متوفر,متوفر,متوفر,علوي,0.0,لا,1600000
163, حي الربيع ,جنوبية,3,1.0,3,114,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1000000
164, حي الياسمين ,جنوبية,3,1.0,3,172,متوفر,متوفر,غير متوفر,غير محدد,3.0,لا,1250000
165, حي الياسمين ,غير محدد,4,1.0,3,154,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,900000
166, حي النرجس ,شرقية,3,2.0,3,137,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,980000
168, حي القيروان ,غير محدد,3,1.0,2,126,غير متوفر,غير متوفر,غير متوفر,غير محدد,2.0,لا,950000
169, حي النرجس ,غير محدد,4,1.0,4,137,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1070000
170, حي الملقا ,شرقية,3,1.0,3,128,متوفر,غير متوفر,غير متوفر,علوي,7.0,لا,860000
171, حي العارض ,شمالية,3,1.0,2,120,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,910000
172, حي النرجس ,جنوبية شرقية,1,1.0,2,170,متوفر,غير متوفر,متوفر,3,0.0,لا,930000
173, حي الندى ,جنوبية,3,2.0,3,138,متوفر,متوفر,متوفر,علوي,0.0,لا,1089000
175, حي القيروان ,غير محدد,3,1.0,3,130,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1328465
176, حي العارض ,جنوبية,3,2.0,2,129,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1000000
177, حي النرجس ,غير محدد,2,1.0,2,129,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,830000
178, حي النرجس ,ثلاث شوارع,1,0.0,3,151,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,900000
179, حي العارض ,شرقية,3,1.0,3,144,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,900000
180, حي الملقا ,غير محدد,3,2.0,3,169,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1350000
181, حي العارض ,جنوبية,4,1.0,4,200,غير متوفر,متوفر,غير متوفر,أرضي,0.0,لا,1200000
182, حي القيروان ,شرقية,4,1.0,3,150,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1300000
183, حي العارض ,غير محدد,4,1.0,3,138,متوفر,غير متوفر,غير متوفر,علوي,3.0,لا,750000
184, حي النرجس ,شمالية,3,1.0,3,138,متوفر,متوفر,متوفر,أرضي,3.0,لا,1200000
185, حي النرجس ,جنوبية شرقية,1,1.0,2,170,متوفر,غير متوفر,متوفر,3,0.0,لا,930000
186, حي النرجس ,شمالية,4,2.0,4,163,متوفر,غير متوفر,غير متوفر,3,0.0,لا,900000
187, حي النرجس ,شمالية,4,1.0,3,179,متوفر,متوفر,متوفر,3,0.0,لا,1155000
188, حي النفل ,شمالية,3,1.0,4,131,غير متوفر,متوفر,متوفر,3,0.0,لا,1070000
189, حي الياسمين ,غير محدد,2,1.0,3,100,متوفر,غير متوفر,غير متوفر,أرضي,5.0,لا,850000
190, حي العارض ,جنوبية,4,2.0,4,200,متوفر,متوفر,متوفر,علوي,0.0,لا,1190000
191, حي القيروان ,غير محدد,3,1.0,3,135,متوفر,غير متوفر,متوفر,3,3.0,نعم,1400000
192, حي النرجس ,ثلاث شوارع,2,1.0,3,151,متوفر,متوفر,متوفر,علوي,0.0,لا,1179000
193, حي العقيق ,شمالية غربية,3,1.0,3,162,متوفر,متوفر,متوفر,3,0.0,لا,700000
194, حي العارض ,جنوبية,3,2.0,3,147,متوفر,متوفر,متوفر,غير محدد,0.0,لا,959000
195, حي النرجس ,جنوبية غربية,3,1.0,3,172,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1100000
196, حي العارض ,جنوبية,3,2.0,3,134,متوفر,غير متوفر,غير متوفر,أرضي,0.0,نعم,1200000
197, حي النرجس ,غير محدد,2,1.0,3,129,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,830000
198, الرياض ,غير محدد,3,1.0,3,195,متوفر,متوفر,متوفر,علوي,0.0,نعم,1199000
199, حي الصحافة ,غير محدد,2,1.0,3,142,متوفر,متوفر,متوفر,غير محدد,7.0,لا,1980000
200, حي الوادي ,شمالية,4,1.0,2,161,متوفر,متوفر,متوفر,3,0.0,لا,800000
201, حي حطين ,شرقية,3,1.0,3,141,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1400000
202, حي الملقا ,غير محدد,3,1.0,3,114,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,850000
203, حي المصيف ,جنوبية,2,1.0,2,100,متوفر,غير متوفر,متوفر,غير محدد,2.0,نعم,1100000
204, حي النرجس ,جنوبية,3,2.0,3,200,متوفر,غير متوفر,غير متوفر,أرضي,1.0,لا,950000
205, حي التعاون ,شرقية,4,2.0,3,126,متوفر,غير متوفر,متوفر,علوي,5.0,لا,900000
206, حي الندى ,جنوبية,2,1.0,3,109,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,839000
207, الرياض ,غير محدد,3,2.0,3,149,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1250000
208, حي العارض ,جنوبية,2,1.0,2,133,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,799000
210, حي العارض ,شمالية,3,1.0,2,120,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,910000
211, حي العارض ,شرقية,2,1.0,3,61,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,750000
212, حي الملقا ,شمالية,4,1.0,4,157,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1300000
213, حي الندى ,جنوبية شرقية,3,2.0,3,241,متوفر,متوفر,متوفر,3,0.0,لا,1429000
214, حي العارض ,شمالية غربية,3,1.0,3,199,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,980000
215, حي النرجس ,غير محدد,3,1.0,3,131,متوفر,غير متوفر,غير متوفر,أرضي,0.0,نعم,890000
216, حي حطين ,شرقية,3,1.0,3,104,متوفر,متوفر,غير متوفر,أرضي,0.0,نعم,1400000
217, حي النرجس ,شرقية,4,2.0,3,144,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1150000
218, حي حطين ,غير محدد,3,2.0,4,166,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1299000
219, حي الملقا ,شرقية,3,1.0,3,169,متوفر,غير متوفر,متوفر,أرضي,0.0,لا,1179000
220, حي العارض ,جنوبية,3,1.0,3,153,متوفر,متوفر,غير متوفر,غير محدد,0.0,نعم,1160000
221, حي الوادي ,شمالية,4,1.0,2,161,متوفر,متوفر,متوفر,3,0.0,لا,800000
222, حي القيروان ,شمالية,3,1.0,3,210,غير متوفر,غير متوفر,متوفر,3,0.0,لا,1390000
223, الرياض ,شمالية شرقية,3,1.0,3,147,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,957000
224, حي الملقا ,غير محدد,3,2.0,3,119,متوفر,غير متوفر,غير متوفر,أرضي,10.0,لا,799000
225, حي المرسلات ,غير محدد,3,1.0,3,128,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1400000
226, حي المغرزات ,غربية,3,1.0,3,154,متوفر,متوفر,متوفر,علوي,0.0,لا,1179000
227, حي التعاون ,شمالية,4,1.0,3,191,متوفر,متوفر,متوفر,3,0.0,لا,1620000
228, حي النرجس ,جنوبية شرقية,3,1.0,4,160,غير متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,1100000
229, حي الملقا ,غربية,3,1.0,3,210,متوفر,غير متوفر,متوفر,غير محدد,0.0,نعم,1700000
230, حي حطين ,شرقية,3,2.0,3,170,غير متوفر,غير متوفر,متوفر,3,0.0,لا,1390000
231, حي النرجس ,شمالية غربية,3,2.0,3,176,غير متوفر,غير متوفر,متوفر,علوي,0.0,لا,1233000
232, حي النخيل ,جنوبية,3,2.0,5,216,متوفر,غير متوفر,متوفر,أرضي,3.0,لا,1200000
233, حي الملقا ,غربية,3,2.0,3,117,متوفر,غير متوفر,متوفر,3,0.0,نعم,1179000
234, الرياض ,جنوبية غربية,3,2.0,3,146,متوفر,غير متوفر,متوفر,علوي,0.0,لا,1250000
235, حي النرجس ,شمالية,3,1.0,3,132,متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,1029000
236, حي النرجس ,غير محدد,2,1.0,2,129,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,830000
237, الرياض ,ثلاث شوارع,4,1.0,4,151,غير متوفر,غير متوفر,غير متوفر,غير محدد,0.0,لا,896000
238, حي الياسمين ,غير محدد,3,2.0,3,191,متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1189000
239, حي الياسمين ,شمالية,3,1.0,3,174,متوفر,غير متوفر,متوفر,غير محدد,0.0,لا,850000
240, حي القيروان ,غير محدد,3,1.0,3,100,متوفر,متوفر,متوفر,أرضي,0.0,لا,850000
241, حي النرجس ,ثلاث شوارع,2,1.0,3,167,متوفر,متوفر,متوفر,علوي,0.0,لا,1255600
242, حي النرجس ,شرقية,5,1.0,4,141,غير متوفر,غير متوفر,متوفر,أرضي,0.0,لا,985000
243, حي المغرزات ,غربية,2,2.0,3,158,متوفر,متوفر,متوفر,أرضي,0.0,نعم,1375000
244, حي الندى ,جنوبية,3,2.0,3,142,متوفر,غير متوفر,غير متوفر,علوي,0.0,لا,1149000
245, حي الملقا ,غربية,4,1.0,4,135,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,1250000
246, حي الوادي ,جنوبية,3,1.0,3,126,متوفر,غير متوفر,غير متوفر,علوي,2.0,نعم,970000
247, الرياض ,شمالية شرقية,3,1.0,3,147,غير متوفر,غير متوفر,غير متوفر,أرضي,0.0,لا,957000
248, حي النرجس ,جنوبية,3,2.0,3,200,متوفر,غير متوفر,غير متوفر,أرضي,1.0,لا,950000
249, حي النرجس ,شمالية,4,1.0,3,179,متوفر,متوفر,متوفر,3,0.0,لا,1155000
250, حي حطين ,شمالية,3,2.0,3,146,متوفر,غير متوفر,متوفر,علوي,10.0,نعم,1300000
